Cohort,AAC(3),AAC(6'),AAC(6');APH(2''),ABC-F ATP-binding cassette ribosomal protection protein,ACC beta-lactamase,ACI beta-lactamase,ACT beta-lactamase,ADC beta-lactamase without carbapenemase activity,ANT(2''),ANT(3''),ANT(4'),ANT(6),APH(2''),APH(3''),APH(3'),APH(6),ATP-binding cassette (ABC) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,BUT beta-lactamase,CMY beta-lactamase,CTX-M beta-lactamase,CblA beta-lactamase,CfxA beta-lactamase,DHA beta-lactamase,Erm 23S ribosomal RNA methyltransferase,General Bacterial Porin with reduced permeability to beta-lactams,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,HERA beta-lactamase,L1 family beta-lactamase,LEN beta-lactamase,MCR phosphoethanolamine transferase,MIR beta-lactamase,MOX beta-lactamase,NDM beta-lactamase,OKP beta-lactamase,OXA beta-lactamase,OXY beta-lactamase,PDC beta-lactamase,SHV beta-lactamase,SRT beta-lactamase,TEM beta-lactamase,aminocoumarin resistant parY,ampC-type beta-lactamase,antibiotic resistant isoleucyl-tRNA synthetase (ileS),blaZ beta-lactamase,cepA beta-lactamase,chloramphenicol acetyltransferase (CAT),ciprofloxacin phosphotransferase,defensin resistant mprF,fosfomycin thiol transferase,fusidic acid inactivation enzyme,glycopeptide resistance gene cluster;van ligase,glycopeptide resistance gene cluster;vanH,glycopeptide resistance gene cluster;vanR,glycopeptide resistance gene cluster;vanS,glycopeptide resistance gene cluster;vanT,glycopeptide resistance gene cluster;vanX,glycopeptide resistance gene cluster;vanXY,kdpDE,lincosamide nucleotidyltransferase (LNU),macrolide phosphotransferase (MPH),major facilitator superfamily (MFS) antibiotic efflux pump,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,methicillin resistant PBP2,multidrug and toxic compound extrusion (MATE) transporter,non-erm 23S ribosomal RNA methyltransferase (G748),pmr phosphoethanolamine transferase,quinolone resistance protein (qnr),resistance-nodulation-cell division (RND) antibiotic efflux pump,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),small multidrug resistance (SMR) antibiotic efflux pump,streptothricin acetyltransferase (SAT),sulfonamide resistant sul,tetracycline-resistant ribosomal protection protein,trimethoprim resistant dihydrofolate reductase dfr,undecaprenyl pyrophosphate related proteins
Control,0.0,6.6847698586724285,3.193790846230935,43.51640398372742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3752444739423,3.725215642280313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27334972421814,5.02599083818274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.341887631934366,31.377792332677643,0.0,13.642502404715668,7.518526963057097,1.0134730828056344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44333818084293,0.0
Antibiotic,0.0,0.0,0.783545089650009,31.92402612813822,0.0,0.0,5.71785286451643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159453302131083,0.0,18.0845331165676,2.905389339257268,0.783545089650009,0.0,0.0,0.0,0.0,0.0,0.0,10.96248219194909,0.783545089650009,2.576966405586891,0.0,0.0,0.0,0.0,5.597189791756189,0.0,0.0,0.0,0.0,7.537576708450974,0.0,0.0,0.0,0.0,0.0,0.0,6.641339455735088,4.568196234081589,0.0,0.0,0.0,0.0,1.6617799401882127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.372845054437223,25.222786828032167,2.905389339257268,9.072925824609577,8.354969425094827,0.0,1.567090179300018,0.0,40.991846301599374,4.32649001267902,0.0,0.0,0.0,9.49944375871181,10.517410843858483,0.0
Antibiotic,0.0,0.0,0.3482919058430414,4.5811348396409866,0.0,0.0,0.0,0.0,0.0,0.0,2.424610370746559,3.8182901760009598,0.0,0.0,4.496407813615054,0.0,0.0,2.349305077177429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.379935165279135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0650276397452472,0.0,14.741873206938312,2.349305077177429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.597499096439316,13.74968861837851,0.0,7.850618498262216,0.0,0.0,0.0,0.0,0.3482919058430414,11.600551535725906,0.0,3.283578047184288,0.0,1.2115623384368055,6.975027645538367,0.0
Antibiotic,0.0,0.0,0.0,9.622125078788835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.377897010461986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739318939799608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.707135324928823,2.2543063675491934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894020479871253,0.0,7.340081185273144,9.223844375692996,0.0,0.0,0.0,2.245899802238837,0.0,0.0,0.0,0.0,8.944176956802831,10.45816890778175,0.0
Antibiotic,0.0,0.0,0.4249419159449871,15.067023130175729,0.0,0.0,0.0,0.0,0.0,0.0,0.5981533368043717,11.353395462571548,0.0,0.0,0.0,0.0,19.334345419290962,1.2449319848648988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89727251185348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4561208226089524,0.0,0.0,3.5594099726360766,1.6899118650645557,0.0,0.0,0.0,0.2280604113044762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4935160341875715,0.0,3.902351565057083,8.951526208658223,0.0,0.7527801862139479,0.0,1.2511556640538348,0.0,0.0,0.0,0.0,9.535017552804446,9.141870409879717,0.0
Antibiotic,0.0,0.0,6.067001383640121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.417213279585864,0.0,0.0,0.0,0.0,0.0,0.0,4.784963108180135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.140211078768658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.53086430326198,0.0,0.0,0.0,8.666627197550309,0.0,5.854093123696153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6053745441403,1.3324017778358108,21.85568669305183,0.0,0.0,3.3376102427968264,0.0,10.240224787969163,0.0,0.0,0.0,0.0,0.0,7.823080642029273,0.0
Antibiotic,0.0,0.0,3.56346138114956,18.529268822531776,0.0,0.0,0.0,0.0,0.0,0.0,5.830766714701553,0.0,0.0,0.0,0.0,0.0,1.139140912471993,4.422399283123677,1.7676533665491878,0.0,0.0,0.0,0.0,0.0,0.0,15.127531489347692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2039825788027794,7.526546127232683,6.069044914474633,0.0,0.0,0.0,0.0,1.139140912471993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.328493418903062,56.412301603450544,4.156637397359147,10.21256515790531,9.72695293908096,0.0,0.0,0.0,53.41938234657372,4.374483228895696,0.0,0.0,0.0,6.462398018693262,5.064686915157009,2.5385364855235752
Control,0.0,0.0,0.0,27.310315617436803,0.0,0.0,0.0,0.0,0.7480893478585109,0.4219998898629878,0.0,0.0,0.0,0.0,0.0,0.0,18.797159009274353,2.2441620297344724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.841913623982155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36716205606008,3.4401178910311025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599746830367613,15.673674473059119,0.0,7.83903880307709,8.607523058501874,0.4219998898629878,0.0,0.0,0.0,1.1700892377214986,0.0,0.0,0.0,9.242732609029801,11.156392910761802,0.0
Antibiotic,0.0,0.0,0.31797071851208075,9.096483722306623,0.0,0.0,4.121942272817306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.80450611771826,4.66738200722139,0.7988614976067508,0.0,0.0,0.0,0.0,0.0,0.0,12.76354722403897,0.31797071851208075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5783608298343581,0.0,0.0,0.5783608298343581,8.316672199713798,5.694730734275966,0.0,0.0,0.0,0.5783608298343581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.648992206120052,0.0,14.479554274574198,8.541444643629095,0.0,0.0,0.0,9.659809681008689,0.0,0.0,0.0,0.0,8.848874591272336,14.027650112084853,0.31797071851208075
Antibiotic,0.0,0.0,0.0,9.213487468849339,0.0,0.0,0.0,0.0,0.0,0.0,0.3781791789781927,0.0,0.0,0.0,0.0,0.0,19.18162226924709,0.9253169501582509,0.0,0.0,0.20144596729641573,0.0,0.0,0.0,0.0,9.803842027252946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775316442566459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.693211230604347,0.0,5.1634432539652675,8.527602813900359,0.0,0.0,0.0,1.9403214061202412,0.0,0.0,0.0,0.0,10.269172266775882,9.712969533329275,0.0
